"Time","Location ID","Soil Type","Analyte ID","Species ID","Result Type","Units","Minimum","5th Percentile","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","95th Percentile","Maximum","Mean","Standard Deviation"
2012,"RRD1-1","NONE","ACNAPE","SEEP","CONCEN","ug/L", 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 2.04000E-04, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","SEDI","CONCEN","ug/kg", 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","PWAT","CONCEN","ug/L", 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 2.10000E-02, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","SORP","CONCEN","ug/kg", 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 1.17300E+00, 0.00000E+00
2012,"RRD1-1","SORP","ACNAPE","RFUNGI","BURDEN","ug/kg wet", 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 6.11215E-02, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","GULPEL","BURDEN","ug/kg wet", 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 5.90116E-03, 0.00000E+00
2012,"RRD1-1","NONE","ACNAPE","TURTLE","BURDEN","ug/kg wet", 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 1.26122E-03, 0.00000E+00
2012,"RRD1-1","SORP","ACNAPE","RBIRD","BURDEN","ug/kg wet", 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 1.01683E-02, 0.00000E+00
2012,"RRD1-1","NONE","As","AIRC","CONCEN","ug/m^3", 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 0.00000E+00
2012,"RRD1-1","NONE","As","AIRD","CONCEN","ug/m^2/yr", 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
2012,"RRD1-1","NONE","As","GWAT","CONCEN","ug/L", 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 5.00000E+00, 0.00000E+00
2012,"RRD1-1","NONE","As","SWAT","CONCEN","ug/L", 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 3.00000E-01, 0.00000E+00
2012,"RRD1-1","NONE","As","SEEP","CONCEN","ug/L", 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 2.50900E+00, 0.00000E+00
2012,"RRD1-1","NONE","As","SEDI","CONCEN","ug/kg", 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 2.70000E+03, 0.00000E+00
2012,"RRD1-1","NONE","As","PWAT","CONCEN","ug/L", 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 4.00000E+00, 0.00000E+00
2012,"RRD1-1","NONE","As","SORP","CONCEN","ug/kg", 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 7.27610E+01, 0.00000E+00
2012,"RRD1-1","SORP","As","RFUNGI","BURDEN","ug/kg wet", 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 6.79648E-01, 0.00000E+00
2012,"RRD1-1","NONE","As","GULPEL","BURDEN","ug/kg wet", 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 3.75278E+01, 0.00000E+00
2012,"RRD1-1","NONE","As","TURTLE","BURDEN","ug/kg wet", 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 5.14441E+00, 0.00000E+00
2012,"RRD1-1","SORP","As","RBIRD","BURDEN","ug/kg wet", 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 2.82657E+01, 0.00000E+00
2012,"RRD1-1","NONE","Hg","AIRC","CONCEN","ug/m^3", 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 1.00000E+00, 0.00000E+00
